"Address Line 1",City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"6622 N 91ST AVE",GLENDALE,AZ,85305,33.532559,-112.255772,1,rooftop,6622,"N 91st Ave",,,Glendale,AZ,"Maricopa County",85305,US,"City of Glendale"
"5705 N SCOTTSDALE RD, STE 120",SCOTTSDALE,AZ,85250,33.51992,-111.9242,1,rooftop,5705,"N Scottsdale Rd",Ste,120,Scottsdale,AZ,"Maricopa County",85250,US,Maricopa
"13055 W MCDOWELL RD STE F101",AVONDALE,AZ,85392,33.46335,-112.337211,1,rooftop,13055,"W McDowell Rd",Ste,F101,Avondale,AZ,"Maricopa County",85392,US,Maricopa
"912 W CHANDLER BLVD BLDG A-D",CHANDLER,AZ,85225,33.307478,-111.857655,1,rooftop,912,"W Chandler Blvd",Ste,A,Chandler,AZ,"Maricopa County",85225,US,Maricopa
"AGENCY ROAD BLDG 173",PARKER,AZ,85344,34.148619,-114.293602,0.5,street_center,,"W Agency Ave",Bldg,173,Parker,AZ,"La Paz County",85344,US,"TIGER/Line® dataset from the US Census Bureau"
"2650 MIRACLE MILE","BULLHEAD CITY",AZ,86442,35.090139,-114.595838,1,rooftop,2650,"Miracle Mile",,,"Bullhead City",AZ,"Mohave County",86442,US,Mohave
"1500 S WHITE MOUNTAIN BLVD STE 204","SHOW LOW",AZ,85901,34.234764,-110.026742,0.6,range_interpolation,1500,"State Hwy 260",Ste,204,"Show Low",AZ,"Navajo County",85901,US,"TIGER/Line® dataset from the US Census Bureau"
"PO BOX 245148",TUCSON,AZ,85724,32.240571,-110.944343,0.33,place,245148,"PO Box",,,Tucson,AZ,"Pima County",85724,US,"TIGER/Line® dataset from the US Census Bureau"
"809 W LONGHORN RD STE E",PAYSON,AZ,85541,34.23813,-111.337403,1,rooftop,809,"W Longhorn Rd",Apt,E,Payson,AZ,"Gila County",85541,US,Gila
"5546 W ROOSEVELT ST STE 1",PHOENIX,AZ,85043,33.45965,-112.17979,1,rooftop,5546,"W Roosevelt St",Ste,1,Phoenix,AZ,"Maricopa County",85043,US,Maricopa
"1197 S REDONDO CENTER DR",YUMA,AZ,85365,32.705894,-114.612715,1,rooftop,1197,"S Redondo Center Dr",,,Yuma,AZ,"Yuma County",85365,US,Yuma
"811 N TEGNER ST  #101",WICKENBURG,AZ,85390,33.976141,-112.735249,1,rooftop,811,"N Tegner St",Ste,101,Wickenburg,AZ,"Maricopa County",85390,US,Maricopa
"1449 W SOUTHERN AVE",TEMPE,AZ,85282,33.392728,-111.961553,1,range_interpolation,1449,"W Southern Ave",,,Tempe,AZ,"Maricopa County",85282,US,"TIGER/Line® dataset from the US Census Bureau"
"14664 N DEL WEBB BLVD","SUN CITY",AZ,85351,33.618235,-112.291347,1,range_interpolation,14664,"N Del Webb Blvd",,,"Sun City",AZ,"Maricopa County",85351,US,"TIGER/Line® dataset from the US Census Bureau"
"US HWY 163 N",KAYENTA,AZ,86033,36.71435,-110.25896,1,place,,,,,Kayenta,AZ,"Navajo County",86033,US,"TIGER/Line® dataset from the US Census Bureau"
"13657 W MCDOWELL RD STE 106",GOODYEAR,AZ,85338,33.463722,-112.353432,1,rooftop,13657,"W McDowell Rd",Ste,106,Goodyear,AZ,"Maricopa County",85338,US,Statewide
"3421 N 7TH AVE",PHOENIX,AZ,85013,33.488059,-112.064717,0.7,nearest_rooftop_match,3413,"N 7th St",,,Phoenix,AZ,"Maricopa County",85014,US,Maricopa
"300 W HIGHWAY 287",FLORENCE,AZ,85132,33.019472,-111.391501,0.9,rooftop,300,"W Highway 287",,,Florence,AZ,"Pinal County",85232,US,Pinal
"10238 E HAMPTON AVE STE 108",MESA,AZ,85209,33.390581,-111.609852,0.9,rooftop,10238,"E Hampton Ave",Ste,108,Mesa,AZ,"Maricopa County",85208,US,"City of Mesa"
"3305 E GREENWAY RD STE 1",PHOENIX,AZ,85032,33.625916,-112.010897,1,rooftop,3305,"E Greenway Rd",Ste,1,Phoenix,AZ,"Maricopa County",85032,US,Maricopa
"4141 N SCOTTSDALE RD",SCOTTSDALE,AZ,85251,33.495716,-111.92541,1,rooftop,4141,"N Scottsdale Rd",,,Scottsdale,AZ,"Maricopa County",85251,US,Maricopa
"1780 W ANKLAM RD",TUCSON,AZ,85745,32.226348,-111.004247,1,rooftop,1780,"W Anklam Rd",,,Tucson,AZ,"Pima County",85745,US,Pima
"1521 E TANGERINE ROAD","ORO VALLEY",AZ,85755,32.42814,-110.950274,1,rooftop,1521,"E Tangerine Rd",,,"Oro Valley",AZ,"Pima County",85755,US,Pima
"7490 S CAMINO DE OESTE",TUCSON,AZ,85757,32.114876,-111.063955,0.9,rooftop,7490,"S Camino De Oeste",,,Tucson,AZ,"Pima County",85746,US,Pima
"12213 W BELL ROAD STE 110",SURPRISE,AZ,85374,33.638151,-112.323193,1,rooftop,12213,"W Bell Rd",Ste,110,Surprise,AZ,"Maricopa County",85374,US,Statewide
"500 EDGEWATER DRIVE","TUBA CITY",AZ,86045,36.132723,-111.241773,0.33,place,,,,,"Tuba City",AZ,"Coconino County",86045,US,"TIGER/Line® dataset from the US Census Bureau"
"5750 W THUNDERBIRD RD BLDG G #750",GLENDALE,AZ,85306,33.612642,-112.182045,1,rooftop,5750,"W Thunderbird Rd",Bldg,,Glendale,AZ,"Maricopa County",85306,US,"City of Glendale"
"3600 W TANGERINE RD",MARANA,AZ,85658,32.424492,-111.042088,1,rooftop,3600,"W Tangerine Rd",,,Marana,AZ,"Pima County",85658,US,Pima
"5115 E THOMAS RD STE 100",PHOENIX,AZ,85018,33.479912,-111.971039,1,range_interpolation,5115,"E Thomas Rd",Ste,100,Phoenix,AZ,"Maricopa County",85018,US,"TIGER/Line® dataset from the US Census Bureau"
"21241 N 23RD AVE STE 11",PHOENIX,AZ,85027,33.679149,-112.107027,1,rooftop,21241,"N 23rd Ave",Ste,11,Phoenix,AZ,"Maricopa County",85027,US,Maricopa
"1721 AIRWAY AVE",KINGMAN,AZ,86409,35.225187,-114.032136,0.59,nearest_rooftop_match,1785,"Airway Ave Kingman",,,Kingman,AZ,"Mohave County",86409,US,Statewide
"1337 S GILBERT RD STE 109",MESA,AZ,85204,33.390101,-111.786877,1,rooftop,1337,"S Gilbert Rd",Ste,109,Mesa,AZ,"Maricopa County",85204,US,"City of Mesa"
"1011 E PENNSYLVANIA ST",TUCSON,AZ,85719,32.172201,-110.955644,0.9,rooftop,1011,"E Pennsylvania St",,,Tucson,AZ,"Pima County",85714,US,Pima
"2022 E PRINCE RD",TUCSON,AZ,85719,32.271568,-110.9409,1,rooftop,2022,"E Prince Rd",,,Tucson,AZ,"Pima County",85719,US,Pima
"2149 E WARNER RD STE 109 & STE 110",TEMPE,AZ,85284,33.333725,-111.894767,1,rooftop,2149,"E Warner Rd",Ste,110,Tempe,AZ,"Maricopa County",85284,US,Maricopa
"980 WILLOW CREEK RD STE 101",PRESCOTT,AZ,86301,34.559327,-112.48256,1,rooftop,980,"Willow Creek Rd",Ste,101,Prescott,AZ,"Yavapai County",86301,US,Yavapai
"3540 E BASELINE RD STE 110",PHOENIX,AZ,85042,33.378856,-112.005216,1,rooftop,3540,"E Baseline Rd",Ste,110,Phoenix,AZ,"Maricopa County",85042,US,Maricopa
"301 S POWER ROAD SUITE 104",MESA,AZ,85206,33.410475,-111.683141,1,rooftop,301,"S Power Rd",Ste,104,Mesa,AZ,"Maricopa County",85206,US,"City of Mesa"
"6622 N 91ST AVENUE",GLENDALE,AZ,85305,33.532559,-112.255772,1,rooftop,6622,"N 91st Ave",,,Glendale,AZ,"Maricopa County",85305,US,"City of Glendale"
"10301 E OSBORN RD BLDG 14",SCOTTSDALE,AZ,85256,33.487642,-111.860356,1,range_interpolation,10301,"E Osborn Rd",Bldg,14,Scottsdale,AZ,"Maricopa County",85256,US,"TIGER/Line® dataset from the US Census Bureau"
"22715 S ELLSWORTH RD STE D","QUEEN CREEK",AZ,85142,33.241891,-111.632519,1,rooftop,22715,"S Ellsworth Rd",Ste,D,"Queen Creek",AZ,"Maricopa County",85142,US,Maricopa
"5555 E 5TH ST #155",TUCSON,AZ,85711,32.229339,-110.874179,1,rooftop,5555,"E 5th St",#,155,Tucson,AZ,"Pima County",85711,US,Pima
"US HWY 191",CHINLE,AZ,86503,34.504275,-109.361055,0.9,street_center,,"US Hwy 180",,,"Saint Johns",AZ,"Apache County",85936,US,"TIGER/Line® dataset from the US Census Bureau"
"3662 S 16TH AVE",TUCSON,AZ,85713,32.18126,-110.984275,1,rooftop,3662,"S 16th Ave",,,Tucson,AZ,"Pima County",85713,US,Pima
"1875 E SABIN DR","CASA GRANDE",AZ,85122,32.881053,-111.706551,1,rooftop,1875,"E Sabin Dr",,,"Casa Grande",AZ,"Pinal County",85122,US,Pinal
"7355 S HOUGHTON RD STE 101",TUCSON,AZ,85747,32.11843,-110.771064,1,rooftop,7355,"S Houghton Rd",Ste,101,Tucson,AZ,"Pima County",85747,US,Pima
"20325 N 51ST AVE STE 186 BLDG 11",GLENDALE,AZ,85308,33.669734,-112.168871,1,rooftop,20325,"N 51st Ave",Ste,186,Glendale,AZ,"Maricopa County",85308,US,Maricopa
"2525 E ROOSEVELT ST",PHOENIX,AZ,85008,33.458415,-112.026973,1,range_interpolation,2525,"E Roosevelt St",,,Phoenix,AZ,"Maricopa County",85008,US,"TIGER/Line® dataset from the US Census Bureau"
"14671 W. MOUNTAIN VIEW BLVD.",SURPRISE,AZ,85374,33.655342,-112.37672,0.71,nearest_rooftop_match,14674,"W Mountain View Blvd",,,Surprise,AZ,"Maricopa County",85374,US,Statewide
"6420 E BROADWAY BLVD STE C300",TUCSON,AZ,85710,32.219071,-110.85549,1,rooftop,6420,"E Broadway Blvd",Ste,C300,Tucson,AZ,"Pima County",85710,US,Pima
"99 E 16TH ST",DOUGLAS,AZ,85607,31.349994,-109.56083,1,rooftop,99,"E 16th St",,,Douglas,AZ,"Cochise County",85607,US,Cochise
"9666 E RIGGS RD STE 143","SUN LAKES",AZ,85248,33.219189,-111.87416,1,rooftop,9666,"E Riggs Rd",Ste,143,"Sun Lakes",AZ,"Maricopa County",85248,US,Maricopa
"4021 N. 30TH STREET",PHOENIX,AZ,85016,33.493959,-112.017133,1,range_interpolation,4021,"N 30th St",,,Phoenix,AZ,"Maricopa County",85016,US,"TIGER/Line® dataset from the US Census Bureau"
"5141 W LAMAR RD",GLENDALE,AZ,85301,33.536044,-112.170059,1,rooftop,5141,"W Lamar Rd",,,Glendale,AZ,"Maricopa County",85301,US,"City of Glendale"
"16605 NORTH 28TH AVENUE",PHOENIX,AZ,85053,33.637189,-112.118551,0.6,rooftop,16605,"N 28th Ave",,,Phoenix,AZ,"Maricopa County",85053,US,Maricopa
"2201 N VICKEY STREET, STE 120",FLAGSTAFF,AZ,86004,35.207336,-111.606212,1,rooftop,2201,"N Vickey St",Ste,120,Flagstaff,AZ,"Coconino County",86004,US,"City of Flagstaff"
"721 MIKE'S PIKE STREET",WINSLOW,AZ,86047,35.040649,-110.701567,1,range_interpolation,721,"Mike's Pike St",,,Winslow,AZ,"Navajo County",86047,US,"TIGER/Line® dataset from the US Census Bureau"
"10050 W BELL RD STE 29-31","SUN CITY",AZ,85351,33.639428,-112.27634,1,rooftop,10050,"W Bell Rd",Ste,29,"Sun City",AZ,"Maricopa County",85351,US,Maricopa
"2812 W 10TH ST",GREELEY,CO,80634,40.422696,-104.725714,0.5,range_interpolation,2812,"Us Hwy 34 Bus",,,Greeley,CO,"Weld County",80634,US,"TIGER/Line® dataset from the US Census Bureau"
"1526 OAKRIDGE DR","FORT COLLINS",CO,80525,40.52297,-105.05118,1,rooftop,1526,"Oakridge Dr",,,"Fort Collins",CO,"Larimer County",80525,US,"Larimer County"
"850 EAGLERIDGE BLVD",PUEBLO,CO,81008,38.320023,-104.619822,1,rooftop,850,"Eagleridge Blvd",,,Pueblo,CO,"Pueblo County",81008,US,"Pubelo County"
"482 S CHAMBERS RD",AURORA,CO,80017,39.706549,-104.807203,1,rooftop,482,"S Chambers Rd",,,Aurora,CO,"Arapahoe County",80017,US,"City of Aurora"
"4700 E BROMLEY LN STE 103",BRIGHTON,CO,80601,39.972207,-104.770978,1,range_interpolation,4700,"E Bromley Ln",Ste,103,Brighton,CO,"Adams County",80601,US,"TIGER/Line® dataset from the US Census Bureau"
"12605 E. 16TH AVE",AURORA,CO,80045,39.742185,-104.840853,1,rooftop,12605,"E 16th Ave",,,Aurora,CO,"Adams County",80045,US,"City of Aurora"
"209 W COUNTY LINE RD",LITTLETON,CO,80129,39.567408,-104.991525,1,rooftop,209,"W County Line Rd",,,"Highlands Ranch",CO,"Arapahoe County",80129,US,"Arapahoe County"
"1865 W 121ST AVE, STE 300C",WESTMINSTER,CO,80234,39.917096,-105.009233,1,rooftop,1865,"W 121st Ave",Ste,300,Denver,CO,"Adams County",80234,US,"City of Westminster"
"1012 HAYES AVE","LA JUNTA",CO,81050,37.984826,-103.556982,0.6,street_center,,"Hayes Ave",,,"La Junta",CO,"Otero County",81050,US,"TIGER/Line® dataset from the US Census Bureau"
"1910 E LELARAY ST","COLORADO SPRINGS",CO,80909,38.857494,-104.79186,1,rooftop,1910,"Lelaray St",,,"Colorado Springs",CO,"El Paso County",80909,US,"El Paso"
"3421 S RIO GRANDE STE D",MONTROSE,CO,81401,38.446801,-107.869435,1,rooftop,3421,"S Rio Grande Ave #a",Ste,D,Montrose,CO,"Montrose County",81401,US,Montrose
"7465 E 1ST AVE STE A",DENVER,CO,80230,39.719477,-104.900169,1,rooftop,7465,"E 1st Ave",Ste,A,Denver,CO,"Denver County",80230,US,Denver
"710 WELLINGTON AVE STE 20","GRAND JUNCTION",CO,81501,39.090799,-108.560947,1,rooftop,710,"Wellington Ave",Ste,20,"Grand Junction",CO,"Mesa County",81501,US,"Mesa County"
"1057 S WADSWORTH BLVD STE 100",LAKEWOOD,CO,80226,39.697635,-105.08203,1,rooftop,1057,"S Wadsworth Blvd",Ste,100,Lakewood,CO,"Jefferson County",80226,US,"Jefferson County"
"2144 MAIN ST STE 2",LONGMONT,CO,80501,40.197328,-105.101054,1,rooftop,2144,"Main St",Ste,2,Longmont,CO,"Boulder County",80501,US,Boulder
"5992 IRIS PARKWAY",LONGMONT,CO,80504,40.110883,-104.943086,1,rooftop,5992,"Iris Pkwy",,,Longmont,CO,"Weld County",80504,US,"City of Frederick"
"2900 DOWNING ST STE C",DENVER,CO,80205,39.75809,-104.973349,1,range_interpolation,2900,"Downing St",Ste,C,Denver,CO,"Denver County",80205,US,"TIGER/Line® dataset from the US Census Bureau"
"1750 PIERCE ST",LAKEWOOD,CO,80214,39.745258,-105.07144,1,rooftop,1750,"Pierce St",,,Lakewood,CO,"Jefferson County",80214,US,"Jefferson County"
"1960 KEN PRATT BLVD STE A",LONGMONT,CO,80501,40.146631,-105.123575,1,range_interpolation,1960,"Ken Pratt Blvd",Ste,A,Longmont,CO,"Boulder County",80501,US,"TIGER/Line® dataset from the US Census Bureau"
"603 HOLLY DRIVE",STERLING,CO,80751,40.610928,-103.220473,1,rooftop,603,"Holly Dr",,,Sterling,CO,"Logan County",80751,US,Statewide
"1750 PIERCE ST STE A",LAKEWOOD,CO,80214,39.745258,-105.07144,1,rooftop,1750,"Pierce St",Ste,A,Lakewood,CO,"Jefferson County",80214,US,"Jefferson County"
"11700 W 2ND PL, STE 325",LAKEWOOD,CO,80228,39.718585,-105.141803,0.6,street_center,,"W 2nd Pl",Ste,325,"Green Mountain Village",CO,"Jefferson County",80228,US,"TIGER/Line® dataset from the US Census Bureau"
"2802  INTERNATIONAL CIR","COLORADO SPRINGS",CO,80910,38.827117,-104.787954,1,range_interpolation,2802,"International Cir",,,"Colorado Springs",CO,"El Paso County",80910,US,"TIGER/Line® dataset from the US Census Bureau"
"6071 E WOODMEN RD STE 100/120","COLORADO SPRINGS",CO,80923,38.939605,-104.716127,0.9,rooftop,6071,"E Woodmen Rd",Ste,100,"Colorado Springs",CO,"El Paso County",80908,US,"El Paso"
"8601 W CROSS DR SUITE C2",DENVER,CO,80123,39.61499,-105.092493,1,rooftop,8601,"W Cross Dr",Unit,C2,Littleton,CO,"Denver County",80123,US,Denver
"108 WEST LEE AVE",LAMAR,CO,81052,38.075423,-102.618277,1,range_interpolation,108,"Lee Ave",,,Lamar,CO,"Prowers County",81052,US,"TIGER/Line® dataset from the US Census Bureau"
"41 MONTEBELLO RD STE 102",PUEBLO,CO,81001,38.306223,-104.597182,1,rooftop,41,"Montebello Rd",Ste,102,Pueblo,CO,"Pueblo County",81001,US,"Pubelo County"
"561 25 ROAD STE D","GRAND JUNCTION",CO,81505,39.068019,-108.563317,0.58,nearest_rooftop_match,543,"Rood Ave",Ste,D,"Grand Junction",CO,"Mesa County",81501,US,Statewide
"3247 S LINCOLN ST",ENGLEWOOD,CO,80110,39.657748,-104.986727,0.9,rooftop,3247,"S Lincoln St",,,Englewood,CO,"Arapahoe County",80113,US,"Arapahoe County"
"8800 FOX DR",THORNTON,CO,80260,39.856998,-104.993507,1,rooftop,8800,"Fox Dr",,,Thornton,CO,"Adams County",80260,US,"City of Thornton"
"10371 S PARK GLENN WAY STE 180",PARKER,CO,80138,39.533962,-104.767331,1,range_interpolation,10371,"S Park Glenn Way",Ste,180,Parker,CO,"Douglas County",80138,US,"TIGER/Line® dataset from the US Census Bureau"
"509 N SABLE BLVD",AURORA,CO,80011,39.724162,-104.820127,1,rooftop,509,"N Sable Blvd",,,Aurora,CO,"Arapahoe County",80011,US,"City of Aurora"
"50 BUCK CREEK ROAD",AVON,CO,81620,39.639707,-106.522284,1,rooftop,50,"Buck Creek Rd",,,Avon,CO,"Eagle County",81620,US,Eagle
"962 POTOMAC CIR",AURORA,CO,80011,39.732408,-104.826963,1,rooftop,962,"Potomac Cir",,,Aurora,CO,"Arapahoe County",80011,US,"Arapahoe County"
"6166 W ALAMEDA AVE",DENVER,CO,80226,39.710501,-105.064255,1,rooftop,6166,"W Alameda Ave",,,Lakewood,CO,"Jefferson County",80226,US,"Jefferson County"
"750 WEST HAMPDEN AVE #110",ENGLEWOOD,CO,80110,39.652359,-104.99644,1,rooftop,750,"W Hampden Ave",Ste,110,Englewood,CO,"Arapahoe County",80110,US,"Arapahoe County"
"610 E MAIN STE C",CORTEZ,CO,81321,37.349628,-108.576671,1,rooftop,610,"E Main St",,,Cortez,CO,"Montezuma County",81321,US,Montezuma
"2940 GINNALA DR",LOVELAND,CO,80538,40.422951,-105.070545,1,rooftop,2940,"Ginnala Dr",,,Loveland,CO,"Larimer County",80538,US,"Larimer County"
"4600 HALE PKWY STE 120",DENVER,CO,80220,39.733167,-104.934321,1,rooftop,4600,"E Hale Pkwy",Ste,120,Denver,CO,"Denver County",80220,US,Denver
"1000 RUSH DRIVE",SALIDA,CO,81201,38.629119,-106.120582,0.33,place,,,,,Salida,CO,"Chaffee County",81201,US,"TIGER/Line® dataset from the US Census Bureau"
"2655 CRESCENT DR STE C",LAFAYETTE,CO,80026,39.966324,-105.088581,1,rooftop,2655,"Crescent Dr",Ste,C,Lafayette,CO,"Boulder County",80026,US,Boulder
"9950 W 80TH AVE STE 25",ARVADA,CO,80005,39.840981,-105.109211,1,rooftop,9950,"W 80th Ave",Ste,25,Arvada,CO,"Jefferson County",80005,US,"City of Arvada"
"8451 PEARL STREET",THORNTON,CO,80229,39.850339,-104.98039,1,rooftop,8451,"Pearl St",,,Thornton,CO,"Adams County",80229,US,"City of Thornton"
"1601 PROSPECT PARKWAY","FORT COLLINS",CO,80525,40.565461,-105.033607,1,range_interpolation,1601,"Prospect Pkwy",,,"Fort Collins",CO,"Larimer County",80525,US,"TIGER/Line® dataset from the US Census Bureau"
"755 S COLORADO BLVD",DENVER,CO,80246,39.702699,-104.94144,1,rooftop,755,"S Colorado Blvd",,,Denver,CO,"Denver County",80246,US,"Arapahoe County"
"73 N ASPEN SKI WAY","PUEBLO WEST",CO,81007,38.338354,-104.737642,1,rooftop,73,"N Aspen Ski Way",,,Pueblo,CO,"Pueblo County",81007,US,"Pubelo County"
"2002 LELARAY ST STE 130","COLORADO SPRINGS",CO,80909,38.857486,-104.79088,1,rooftop,2002,"Lelaray St",Ste,130,"Colorado Springs",CO,"El Paso County",80909,US,"El Paso"
"2343 W 27TH ST STE 503",GREELEY,CO,80634,40.393694,-104.716562,0.4,range_interpolation,2343,"W 27th St",Ste,503,Greeley,CO,"Weld County",80634,US,"TIGER/Line® dataset from the US Census Bureau"
"3426 LAKE AVENUE STE 110",PUEBLO,CO,81004,38.215003,-104.625156,1,rooftop,3426,"Lake Ave",Ste,110,Pueblo,CO,"Pueblo County",81004,US,"Pubelo County"
"18320 E COTTONWOOD DR STE C",PARKER,CO,80138,39.557251,-104.77799,1,rooftop,18320,"Cottonwood Dr",Unit,C,Parker,CO,"Douglas County",80138,US,Douglas
"612 DEL SOL DR",ALAMOSA,CO,81101,37.479933,-105.790967,0.33,place,,,,,Alamosa,CO,"Alamosa County",81101,US,"TIGER/Line® dataset from the US Census Bureau"
"7606 E 36TH AVE",DENVER,CO,80238,39.767103,-104.899317,0.9,rooftop,7606,"E 36th Ave",,,Denver,CO,"Denver County",80207,US,Denver
"2180 HOLLOWBROOK DR","COLORADO SPRINGS",CO,80918,39.052581,-104.822317,0.1,street_center,,"Holbrook St",,,"Colorado Springs",CO,"El Paso County",80921,US,"TIGER/Line® dataset from the US Census Bureau"
"1453 N DENVER AVE",LOVELAND,CO,80538,40.408157,-105.046521,1,rooftop,1453,"N Denver Ave",,,Loveland,CO,"Larimer County",80538,US,"City of Loveland"
"590 LAREDO ST",AURORA,CO,80017,39.725094,-104.800056,0.9,rooftop,590,"Laredo St",,,Aurora,CO,"Arapahoe County",80011,US,"Arapahoe County"
"6320 HOLLY ST","COMMERCE CITY",CO,80022,39.811285,-104.921511,1,rooftop,6320,"Holly St",,,"Commerce City",CO,"Adams County",80022,US,Adams
"12365 HURON ST STE 500",WESTMINSTER,CO,80234,39.921404,-104.997541,1,rooftop,12365,"Huron St",Ste,500,Denver,CO,"Adams County",80234,US,"City of Westminster"
"1411 S POTOMAC ST STE 100",AURORA,CO,80012,39.691047,-104.832683,1,rooftop,1411,"S Potomac St",Ste,100,Aurora,CO,"Arapahoe County",80012,US,"City of Aurora"
"723 DELAWARE ST #M105",DENVER,CO,80204,39.727703,-104.992997,1,range_interpolation,723,"Delaware St",#,M105,Denver,CO,"Denver County",80204,US,"TIGER/Line® dataset from the US Census Bureau"
"4834 CHAMBERS ROAD",DENVER,CO,80239,39.779562,-104.809714,1,range_interpolation,4834,"Chambers Rd",,,Denver,CO,"Denver County",80239,US,"TIGER/Line® dataset from the US Census Bureau"
"2245 FREMONT DR","CANON CITY",CO,81212,38.4487,-105.215346,1,rooftop,2245,"Fremont Dr",,,"Canon City",CO,"Fremont County",81212,US,Fremont
"2748 CROSSROADS BLVD","GRAND JUNCTION",CO,81506,39.116847,-108.54347,1,rooftop,2748,"Crossroads Blvd",,,"Grand Junction",CO,"Mesa County",81506,US,"Mesa County"
"5265 VANCE ST",ARVADA,CO,80002,39.792169,-105.078853,1,rooftop,5265,"Vance St",,,Arvada,CO,"Jefferson County",80002,US,"City of Arvada"
"23450 HIGHWAY 160",WALSENBURG,CO,81089,37.627598,-104.773432,1,range_interpolation,23450,"US Hwy 160",,,Walsenburg,CO,"Huerfano County",81089,US,"TIGER/Line® dataset from the US Census Bureau"
"13123 E 16TH AVE #328",AURORA,CO,80045,39.742161,-104.835037,1,rooftop,13123,"E 16th Ave",#,328,Aurora,CO,"Adams County",80045,US,"City of Aurora"
"11058 WEST JEWELL AVE",LAKEWOOD,CO,80232,39.68081,-105.121006,1,rooftop,11058,"W Jewell Ave",,,Lakewood,CO,"Jefferson County",80232,US,"Jefferson County"
"2508 AIRPORT RD","COLORADO SPRINGS",CO,80909,38.826621,-104.783141,0.9,rooftop,2508,"Airport Rd",,,"Colorado Springs",CO,"El Paso County",80910,US,"El Paso"
"9777  PYRAMID CT STE 140",ENGLEWOOD,CO,80112,39.540657,-104.865988,1,rooftop,9777,"Pyramid Ct",Ste,140,Englewood,CO,"Douglas County",80112,US,Douglas
"3410 S GALENA ST SUITE 100",DENVER,CO,80231,39.65483,-104.869274,1,rooftop,3410,"S Galena St",Ste,100,Denver,CO,"Denver County",80231,US,Denver
"846 SOUTH 5TH STREET",MONTROSE,CO,81401,38.478908,-107.86717,1,rooftop,846,"S 5th St",,,Montrose,CO,"Montrose County",81401,US,Montrose
"4348 WOODLAND BLVD STE 131","CASTLE ROCK",CO,80104,39.406333,-104.852484,1,rooftop,4348,"Woodlands Blvd",Ste,131,"Castle Rock",CO,"Douglas County",80104,US,Douglas
"2107 S. TIMBERLINE RD","FORT COLLINS",CO,80525,40.559693,-105.040361,1,rooftop,2107,"S Timberline Rd",,,"Fort Collins",CO,"Larimer County",80525,US,"City of Fort Collins"
"1212 9TH ST",GREELEY,CO,80631,40.42362,-104.698932,1,rooftop,1212,"9th St",,,Greeley,CO,"Weld County",80631,US,"City of Greeley"
"1321 S 4TH AVE",BRIGHTON,CO,80601,39.966909,-104.81888,1,rooftop,1321,"S 4th Ave",,,Brighton,CO,"Adams County",80601,US,Adams
"72 SUTTLE ST STE D",DURANGO,CO,81303,37.247595,-107.876484,1,rooftop,72,"Suttle St",Ste,D,Durango,CO,"La Plata County",81303,US,"La Plata"
"5285 MCWHINNEY BLVD #190",LOVELAND,CO,80538,40.410933,-105.003252,1,rooftop,5285,"McWhinney Blvd #190",#,190,Loveland,CO,"Larimer County",80538,US,"City of Loveland"
"2880 FOLSOM ST STE 110",BOULDER,CO,80304,40.028494,-105.262618,1,rooftop,2880,"Folsom St",Ste,110,Boulder,CO,"Boulder County",80304,US,Boulder
"6920 W 38TH AVE","WHEAT RIDGE",CO,80033,39.768941,-105.073693,1,rooftop,6920,"W 38th Ave",,,"Wheat Ridge",CO,"Jefferson County",80033,US,"Jefferson County"
"8410 DECATUR ST STE 200",WESTMINSTER,CO,80031,39.849665,-105.022118,1,rooftop,8410,"Decatur St",Ste,200,Westminster,CO,"Adams County",80031,US,"City of Westminster"
